26,ZIEGLER J,JMDUTTON,"J.M. Dutton & Associates, LLC",28-Nov-06
41,WEBB L,WRHCO,William R. Hough & Co.,25-Mar-05
51,KULJU K,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,27-Mar-06
54,MEYER J,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,7-Jul-05
70,"FRANCE, CFA J",GHUNTER,"G. HUNTER & ASSOCIATES, INC.",18-Jan-22
71,SAFTLAS H,POORSTAN,Piper Sandler & Co.,11-Feb-14
83,KELERTAS R,DEACON,,2-Nov-11
102,CARR C,OPPEN,,26-Apr-07
125,MOREAU T,BARRING,"BARRINGTON RESEARCH ASSOCIATES, INC.",28-Jan-16
141,PICCHI B,WSACCESS,"WELLS FARGO ADVISORS, LLC",14-Jul-08
170,BORGMAN L,JESUPLAM,Jesup & Lamont Securities Corporation,1-Nov-06
172,FLEMING G,WRHCO,William R. Hough & Co.,27-Jul-05
185,ERAIBA M,ROSETTA,"Rosetta Partners, LLC",9-Feb-05
221,COHEN J,STEPHENS,STEPHENS,30-Jun-20
251,STIEVEN J,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",18-Aug-05
294,COLL R,JENNCAP,JenCap Securities LLC,27-Nov-09
316,GRAY J,BERN,"BERNARDI SECURITIES, INC.",27-Apr-05
321,HARTING B,FRCLAYSC,Barclays Capital Inc.,8-Aug-11
356,LEMING P,TICON,"Tradition Securities and Derivatives, Inc.",23-Dec-11
375,NELSON D,CABLEHOW,CABLE HOWSE & RAGEN INC.,26-Jan-06
380,ARTHUR D,HUBER,"Huber Financial Advisors, LLC",6-Jan-22
381,WALKER M,NOMURAUS,"Nomura Securities International, Inc.",15-Jul-15
447,CERANKOSKY C,NORTHRES,,2-Dec-21
476,BRADFORD C,CBRADFOR,C.L. Bradford & Co.,14-May-09
478,TUMAZOS J,BACHE,Prudential Bache Securities Inc.,8-May-07
485,ESTRA J,STANFIN,Stanford Financial Group Company,18-Oct-05
498,KELLY J,GOLDMAN,GOLDMAN SACHS & CO. LLC,6-Jun-07
516,ZIEF J,GOLDMAN,GOLDMAN SACHS & CO. LLC,28-Nov-07
525,GAINER M,MCLEOD,McLeod & Company,22-Sep-05
556,BARONE R,MAXIM,MAXIM GROUP LLC,21-Jan-15
559,JAFFE R,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",24-Feb-17
606,WHEELERCFA E,BUCK,BUCKLER SECURITIES LLC,8-May-14
610,LARKIN L,POORSTAN,Piper Sandler & Co.,28-Mar-13
611,WOPAT ORR J,NUTMEG,"Nutmeg Securities, Ltd.",25-Jun-10
616,LEON K,CFRANOWM,"C.F. Rowe & Co., Inc.",17-Aug-21
642,MEREDITH B,MONTSEC,Montgomery Securities,15-Jun-06
661,COHEN M,GOLDMAN,GOLDMAN SACHS & CO. LLC,6-May-05
662,ROLING D,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",3-May-06
678,LABE P,NUTMEG,"Nutmeg Securities, Ltd.",7-Aug-06
689,WU D,TELSEY,TELSEY ADVISORY GROUP LLC,12-Jan-17
702,GHEIT F,FAHN,First Allied Holdings Inc.,22-Jan-16
705,DODGE P,NOBE,"NOBLE CAPITAL MARKETS, INC.",11-Dec-14
716,AYDIN J,MCDONALD,MCDONALD PARTNERS LLC,22-May-14
744,YOUNG W,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,20-Feb-07
747,HENRY J,FIELDST,Fieldstone Services Corp.,2-Aug-05
748,CASH A,ROBINSON,"ROBINSON & CO., INC.",27-Feb-14
779,APPERT P,PIPER,PIPER SANDLER & CO.,25-Jun-19
782,STEIN J,TICON,"Tradition Securities and Derivatives, Inc.",12-Oct-11
783,MOORE K,WHEAT,"Wheat Capital Management, Inc.",24-Mar-06
790,MCGINTY J,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,21-Nov-06
825,THOMAS D,PEREIRE,Pereire Advisors LLC,20-Apr-17
856,MCMANUS J,NEEDHAM,"NEEDHAM & COMPANY, LLC",22-Dec-04
870,DILLON C,VERTRESP,Vertical Research Partners LLC,27-Jan-20
877,NELSON J,GOLDMAN,GOLDMAN SACHS & CO. LLC,1-Feb-22
895,GOLDSTEIN M,MIZUSEC,Mizuho Securities USA LLC,10-Nov-21
923,MANEATY C,BACHE,Prudential Bache Securities Inc.,16-May-07
938,ABRAMOWITZ W,ARGUS,ARGUS RESEARCH COMPANY,19-Apr-07
944,PARR M,MCDONALD,MCDONALD PARTNERS LLC,24-Oct-13
965,JORDAN M,NOBE,"NOBLE CAPITAL MARKETS, INC.",7-Jun-18
973,FERRETTI P,BAKER,"BAKER TILLY CAPITAL, LLC",16-Aug-06
980,SUTHERLAND B,THEBENCH,"The Benchmark Company, LLC",21-Feb-22
994,BUCK E,BREAN,"BREAN CAPITAL, LLC",30-Apr-08
1032,STAHLMAN M,CARISCO,CARLIN EQUITIES CORP.,4-Aug-06
1043,LEDERMAN L,BLAIR,"William Blair & Company, L.L.C.",23-May-13
1047,WOLF C,NEEDHAM,"NEEDHAM & COMPANY, LLC",10-Sep-14
1075,WEINSTEIN M,JPMORGAN,"JPMORGAN DISTRIBUTION SERVICES, INC.",18-Apr-18
1078,MCMILLIN J,BACHE,Prudential Bache Securities Inc.,23-May-07
1079,TEITELBAUM L,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",30-Jun-06
1146,MUELLER M,JPMORGAN,"JPMORGAN DISTRIBUTION SERVICES, INC.",22-Feb-22
1158,FAIRECHIO J,CAPSTONE,CAPSTONE PARTNERS,5-Apr-12
1163,MAYER F,DESJARD,DESJARDINS SECURITIES INTERNATIONAL INC.,11-Jul-06
1173,GULLEY M,BGCFINAN,"BGC Financial, L.P.",5-Nov-14
1176,CONIGLIARO L,GOLDMAN,GOLDMAN SACHS & CO. LLC,6-Dec-07
1181,SPEARS J,GARWOOD,"GARWOOD CAPITAL ADVISORS, LLC",28-Sep-11
1182,HOKANSON R,BARRING,"BARRINGTON RESEARCH ASSOCIATES, INC.",24-May-17
1188,CALLAN B,BACHE,Prudential Bache Securities Inc.,22-May-07
1200,LONGLEY A,BUCK,BUCKLER SECURITIES LLC,21-Nov-14
1205,HILL E,MLGA,Merrill Lynch Government Securities Inc.,16-Jun-06
1211,NATTEL I,RBCDOMIN,"RBC Capital Markets, LLC",30-Nov-21
1216,ALTMAN D,BEAR,BEAR CREEK SECURITIES LLC,25-Oct-06
1220,SIMPSON K,GRIFFIN,"GRIFFIN CAPITAL SECURITIES, LLC",3-Jan-22
1228,CRANDELL J,DAHLROSE,"Dahl & Melin, Inc.",22-May-13
1233,SMITH H,FIRSANAL,First Analysis Securities Corporation,29-Mar-20
1247,GRAVES T,POORSTAN,Piper Sandler & Co.,31-Jan-14
1258,POLINI A,AMERICAP,"AMERICAP SECURITIES, INC.",1-Nov-21
1291,CHOQUETTE K,MCLEOD,McLeod & Company,17-Oct-13
1301,HIGGINS J,TICON,"Tradition Securities and Derivatives, Inc.",20-Jan-12
1308,KOTOWSKI C,FAHN,First Allied Holdings Inc.,13-Jan-22
1309,CRABTREE B,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",27-Jul-09
1315,WILSON D,HOWARD,Howard Weil Incorporated,5-Apr-16
1319,PERCARPIO C,JANNEY,JANNEY MONTGOMERY SCOTT LLC,21-Jul-05
1320,CAMPBELL C,SOGENED,"SG Americas Securities, LLC",16-Dec-08
1323,DUTTON B,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,28-Jun-13
